metric,delay,factor
Unique Users,8.0,0.9546355096401044
Unique Users,9.0,0.9574993208567059
Unique Users,10.0,0.9599834672022461
Unique Users,11.0,0.9624750650822905
Unique Users,12.0,0.9645923664434828
Unique Users,13.0,0.9668694094235091
Unique Users,14.0,0.969272744261569
Unique Users,15.0,0.9712184053248792
Unique Users,16.0,0.9730485134726692
Unique Users,17.0,0.9746192025563819
Unique Users,18.0,0.9760394151099898
Unique Users,19.0,0.977365879837695
Unique Users,20.0,0.9786171188027629
Unique Users,21.0,0.9798619396685161
Unique Users,22.0,0.9813234955185275
Unique Users,23.0,0.9833553731118662
Unique Users,24.0,0.985705569075101
Unique Users,25.0,0.9868764578346833
Unique Users,26.0,0.9877190690058276
Unique Users,27.0,0.9883123512922236
Unique Users,28.0,0.9888464296532675
Unique Users,29.0,0.9892220145806391
Unique Users,30.0,0.9895738445753096
Unique Users,31.0,0.9899626468867886
Unique Users,32.0,0.9904860020375748
Unique Users,33.0,0.9908145060246621
Unique Users,34.0,0.9912188595523467
Unique Users,35.0,0.9916452994195064
Unique Users,36.0,0.9921260535380909
Unique Users,37.0,0.9926399305439109
Unique Users,38.0,0.9931304209179127
Unique Users,39.0,0.9936681841289039
Unique Users,40.0,0.9940843815371346
Unique Users,41.0,0.9944465707401025
Unique Users,42.0,0.9947952843564452
Unique Users,43.0,0.995204000934768
Unique Users,44.0,0.9955595319348772
Unique Users,45.0,0.9960298969848254
Unique Users,46.0,0.9965026045183748
Unique Users,47.0,0.9967599051516751
Unique Users,48.0,0.9970799263185605
Unique Users,49.0,0.9973996190957106
Unique Users,50.0,0.9976435222509487
Unique Users,51.0,0.9977143595397421
Unique Users,52.0,0.9977479854414306
Unique Users,53.0,0.9977500044955686
Unique Users,54.0,0.9977554746358599
Unique Users,55.0,0.9977266301504522
Unique Users,56.0,0.9977627844152951
Unique Users,57.0,0.9978854785520214
Unique Users,58.0,0.9980706129639791
Unique Users,59.0,0.9984875522205119
Unique Users,60.0,0.9992758604247964
Unique Users,61.0,1.0
Unique Users,62.0,1.0
